Year,Funder,Title,PI_CO_PI,Amount,start_date,end_date,project_ID,Radar_ID,Lead_PI
2019,Colonvade,"Hydrological Effects of a Eucalyptus Plantation in Uruguay",co-PI,44002,2019-06-01,2021-12-31,566884,2020-1608,Birgand
2018,NSF,"Collaborative Research: Consequences of changing oxygen availability for carbon cycling in freshwater ecosystems",co-PI,63073,2018-09-01,2022-08-31,582523,2018-0253,Birgand
2016,NC Department of Transportation,"Continuing Intensive Monitoring of Nutrient and Material Load in Claridge Nursery Stream ""the Canal"": assessing the water quality impacts & benefits of a stream restoration in the coastal plain",Lead PI,528412,2016-08-01,2020-10-31,570952,2016-2894,Birgand
2016,NCSU Water Resources Research Institute,Quantifying Treatment Potential of Floating Treatment Wetlands to Benefit North Carolina Waters Unising Improved Methodology and Novel Technology,Lead PI,9994,2016-04-01,2018-08-31,560385,2016-2372,Birgand
2016,Clean Water Management Trust Fund,Using Smart Control and Real-Time Data Collection to Improve SCM Design and Performance,co-PI,298135,2016-10-04,2020-07-31,581349,2016-1983,Hunt & Birgand
2016,USDA NIFA,Transforming Denitrifying Bioreactor Research and Applications: Unveiling the Inside of the Blackbox,Lead PI,499900,2016-06-15,2020-12-31,570914,2016-0149,Birgand
2013,NCSU Water Resources Research Institute,A Mesocosm Study to Determine Nitrogen Assimilation Capacity of a Restored Wetland Slated to Receive Pumped Drainage Water - a Critical Component to Maximize Improvement to the Pamlico Sound,co-PI,29914,2013-03-01,2016-02-26,556809,2013-0351,Burchell
2013,NC Department of Transportation,"Intensive Monitoring of Nutrient and Material Load in Claridge Nursery Stream 'The Canal' Pre-, During and Post Construction of Highway 70 Bypass in Wayne County, NC",Lead PI,367644,2013-05-16,2016-06-30,556803,2013-1810,Birgand
2012,USDC NOAA,Predicting Water Quality Impacts of Rerouting Drainage Water From the Pamlico Sound to Restored Wetlands,co-PI,19814,2012-09-01,2012-04-30,555750,2012-2750,Burchell
2012,NCSU Water Resources Research Institute,Predicting Water Quality Impacts of Rerouting Drainage Water From the Pamlico Sound to Restored Wetlands,co-PI,19814,2012-09-02,2014-08-31,555751,2012-2750,Burchell
2012,Weyerhaeuser NR Co.,"Effects of Biofuel Planting, Growth and Harvesting on the Hydrology and Water Quality of Pine Plantations",co-PI,780000,2012-04-19,2015-12-31,555978,2012-2577,Chescheir
2011,USGS,Carbon Sequestration and Greenhouse Gas Emissions in Restored Salt Marshes,co-PI,56808,2011-08-01,2014-01-31,554102,2012-0183,Burchell
2011,NC Sea Grant Program,Quantification of Nutrient and Organic Matter Fluxes in a Restore Tidal Marsh,Lead PI,9500,2011-04-15,2012-09-30,553561,2011-2068,Birgand
2011,NCSU Water Resources Research Institute,Quantification of Nutrient and Organic Matter Fluxes in a Restored Tidal Marsh,Lead PI,20000,2011-04-01,2012-09-30,553500,2011-2068,Birgand
2011,NC Coastal Federation,"Design and Implementation of an Innovative Water management system in Hyde County, NC: Phase 1",co-PI,108934,2011-02-01,2019-06-30,553711,2011-2437,Burchell
2010,NC DENR,"Water Quality & Biota Monitoring and Assessment of NC DFR Projects in Wayne,  Durham and Granville Counties",co-PI,17000,2010-07-01,2011-06-30,552367,2010-2575,Jennings
2010,NCSU Water Resources Research Institute,Deriving Sampling Frequency Guidelines For Water Quality Monitoring in North Carolina,Lead PI,30754,2010-07-01,2011-08-31,552179,2010-0869,Birgand
2010,US Department of Energy,Optimization of Southeastern Forest Biomass Crop Production: A Watershed Scale Evaluation of the Sustainability and Productivity of Dedicated Energy Crop and Woody Biomass Operations,co-PI,2092892,2010-09-30,2016-09-30,553639,2011-0526,Chescheir
2009,NC DENR,Quantification of In-Stream Water Quality Benefits of a Restored Coastal Marsh,Lead PI,166170,2010-04-01,2012-12-31,551478,2009-1198,Birgand
2008,Weyerhaeuser Co.,"Analysis of the Effects of Biofuel Planting, Growth, and Harvesting on the Hydrology and Water Quality of Pine Plantations",co-PI,620320,2008-12-15,2011-12-31,550035,2009-1084,Chescheir
2008,NC Coastal Federation,"Hydrologic Impacts of Rerouting Pumped Agricultural Drainage Water Through a Historical and Restored Wetland System as Part of a Innovative Integrated Water Management System in Hyde County, NC",co-PI,19202,2008-09-15,2012-07-31,552992,2009-0813,Burchell
