Prestype,Year,Authors,Title,Venue,Date,pdf,Speaker,Video
oral,2006 & before,"Billy, B, Kao, C, Birgand, F, Tournebize, J and Sebilo, M ",Nitrate dynamics in a sub-surface drained agricultural watershed ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,,,
oral,2006 & before,"Gruau G, Birgand F ",Long-Term Trends in Dissolved Organic Matter in French Rivers : Assessing the relative effects of climate change and human activities using long-term records ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,Oral_Man_Gruau_Birgand_05_12_06.pdf,,
oral,2006 & before,"Birgand F, Faucheux C ",Evaluation of sampling strategies for estimating annual nutrient loads at the outlets of rural watersheds ,"Man and Rivers II Symposium, 4-6th December 2006, Paris, France",2006-12-04,Oral_Birgand_and_Faucheux_05_12_06.pdf,,
oral,2006 & before,"Billy, B, Birgand, F, Kao, C, Tournebize, J ",Water and nitrate balance in a poorly drained forested and agricultural watershed ,"International Conference Hydrology and Management of Forested Wetlands, ASABE, 8-12 Avril, 2006 New Bern NC, USA",2006-04-12,,,
oral,2006 & before,"Birgand F, Appelboom T W, Chescheir G M, Skaggs R W and Gilliam J W ",Time Proportional Sampling Strategies for Estimating Annual Nutrient Fluxes at the Outlets of Coastal Plain Watersheds,"International Conference Hydrology and Management of Forested Wetlands, ASABE, 8-12 Avril, 2006 New Bern NC, USA",2006-04-12,Oral_Birgand_sampling_ASABE_2006.pdf,,
oral,2006 & before,"Birgand F, Bordenave P, Saint-Cast P, Le Saos E and Serrand P ",Evaluation of sampling strategies for estimating nutrient fluxes at the outlets of agricultural watersheds ," International Conference of the EWRA. September 2005, Menton, France",2005-09-10,Oral_Birgand_EWRA2005.pdf,,
oral,2006 & before,"Lefrançois J, Grimaldi C, Birgand F, Gascuel-Odoux C, Gilliet N ","Origins and dynamics of suspended sediment in two small agricultural catchments, Normandy, France ","Fourth Inter-Celtic Colloquium on Hydrology and Management of water resources, Portugal, July 11-13,2005",2005-07-12,,,
oral,2006 & before,"Lefrançois J, Grimaldi C, Gascuel-Odoux C, Birgand F, Gilliet N ",Suspended sediment concentration (SS)-discharge relationships : a way to identify the dominant processes implicated in the SS load on a small agricultural catchment,"VIIth Scientific Assembly of the International Association of Hydrological Sciences, Foz Do Iguaçu, April 3-9, 2005 ",2005-04-09,,,
oral,2006 & before,"Laplana, R, Turpin, N, Kaljonen, M, Strauss, P, Bärlund, I, Benigni, G, Bioteau, T, Birgand, F, Bontems, P, Bordenave, P, Eklo, O M, Feichtinger, F, Garnier, M, Haverkamp, R, Leone, A, Tattari, S, Lescot, J M, Lo Porto, A, Piet, L, Ripa, M N, Romstad, E, Rotillon, G, Zahm, F ",How to compare best agricultural management practices at the watershed scale?,"EWRA 6th international conference Sharing a common vision of our water resources, Menton, 7-10 september 2005",2005-09-10,,,
oral,2006 & before,"Peu, P, Martinez, J, Birgand, F, Hinsinger, P, Benedetti, M F ","Short term evolution of pig slurry macronutrients (N, P, K) accumulated into an over amended lysimeter (SOLEPUR) ","11th International conference of the FAO ESCORENA network on the recycling of agricultural, municipal and industrial residues in agriculture, Murcia, ESP, 6-9 October 2004. p. 55 - 58",2004-10-09,,,
oral,2009,"Birgand F, Faucheux C, Moatar F, Meybeck M ","Uncertainties on nitrate water quality indicators associated with infrequent sampling in Brittany, France","ASABE Paper No. 096601. St. Joseph, Mich.: ASABE",2009-07-15,,,
oral,2009,"Birgand F, Chescheir, G M ",Measuring Nutrient Retention in Streams: Scale Matters ,"ASABE Paper No. 096523. St. Joseph, Mich.: ASABE.",2009-07-15,,,
oral,2009,"Birgand F, Faucheux C, Moatar F, Meybeck M ","Quelles erreurs pour quelles stratégies d'échantillonnage de l'eau dans les bassins versants ? (What kind of error for what sampling strategies in watersheds?)","Presentation at the international forum on integrated water resource management at the Université de Sherbrooke, Sherbrooke, Québec, June, 1-3, 2009",2009-07-03,,,
oral,2010,"Etheridge, J R, A Lepistö, K Granlund, K Rankinen, M R Burchell II and F Birgand ",Calibration of the INCA-N Model in the Pyhäjoki and Yläneenjoki Catchments in Finland ,"ASABE International meeting, Pittsburgh, Pennsylvania, June 20 - June 23, 2010",2010-06-23,,,
oral,2010,"Chescheir G M, F Birgand, S Tian and M A Youssef ",The effect of sampling frequency on the accuracy of nitrogen load estimates from a drained loblolly pine plantation in Eastern North Carolina,"ASABE's 9th International Drainage symposium. June 13-17, 2010, Québec city, Canada",2010-06-17,,,
oral,2010,"Birgand F, Bennett E, Gruau G ","Deriving Sampling Frequency Charts: example for Dissolved Organic Matter in Brittany, France","NC WRRI Annual Conference, Raleigh, NC, March 31st, 2010",2010-03-31,Birgand_Errors on OM fluxes in Brittany_03_31_10.pdf,,
oral,2011,"Amatya, D, G Chescheir, J Nettles, T Appelboom, W Skaggs, M Youssef, and F Birgand ",Long-term Hydrologic and Water Quality Monitoring in NC ,"Forestry Research in the South - Forest Water Quality and Yield, Southern Forestry Research Partnership (SFRP), Inc. _ Center of Excellence, Monroe, GA.",2011-10-17,,,
